POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-2057.2977,-18916.2096,-3122.9474,64.6955,0.0,-20973.5073,-3058.2519,-24031.7592
1,-2091.789,-18862.9196,-3157.9237,65.6152,0.0,-20954.7086,-3092.3085,-24047.0171
2,-2084.7068,-18863.9907,-3194.207,65.0703,0.0,-20948.6975,-3129.1367,-24077.8342
3,-2074.5947,-18937.0167,-3122.2062,65.07,0.0,-21011.6114,-3057.1362,-24068.7476
4,-2059.8066,-19004.3766,-3110.3452,64.3654,0.0,-21064.1832,-3045.9798,-24110.163
5,-2081.2568,-18979.5829,-3130.3952,63.5645,0.0,-21060.8397,-3066.8307,-24127.6704
6,-2098.2883,-18979.2982,-3115.9282,64.1997,0.0,-21077.5865,-3051.7285,-24129.315
7,-2075.1992,-18974.3726,-3071.9096,64.1835,0.0,-21049.5718,-3007.7261,-24057.2979
8,-2088.3012,-19054.7456,-3055.6599,64.1771,0.0,-21143.0468,-2991.4828,-24134.5296
9,-2070.9319,-19014.116,-3069.8337,64.581,0.0,-21085.0479,-3005.2527,-24090.3006
10,-2052.6525,-19029.1499,-3058.5176,64.3162,0.0,-21081.8024,-2994.2014,-24076.0038
11,-2073.4637,-18990.8363,-3081.6825,64.5591,0.0,-21064.3,-3017.1234,-24081.4234
12,-2043.3917,-19069.1386,-3078.2847,64.9765,0.0,-21112.5303,-3013.3082,-24125.8385
13,-2125.2228,-19003.8098,-3038.1215,64.4962,0.0,-21129.0326,-2973.6253,-24102.6579
14,-2048.0636,-19039.6774,-3083.7411,64.3904,0.0,-21087.741,-3019.3507,-24107.0917
15,-2084.1614,-19035.018,-3025.1297,63.8986,0.0,-21119.1794,-2961.2311,-24080.4105
16,-2055.17,-19037.3361,-3122.5597,64.7983,0.0,-21092.5061,-3057.7614,-24150.2675
17,-2044.8015,-18983.4259,-3092.4066,64.7643,0.0,-21028.2274,-3027.6423,-24055.8697
18,-2049.8446,-18977.201,-3085.9047,65.5075,0.0,-21027.0456,-3020.3972,-24047.4428
19,-2010.8212,-19121.393,-3069.7393,65.0526,0.0,-21132.2142,-3004.6867,-24136.9009
